day,time,age,gender,order_time,price,tip,total_price,payment_method
4/25/2025,6:43:54,Young,Female,Long,$9.00,$0.00,$9.00,Tapped
4/25/2025,6:46:56,Middle,Female,Short,$4.00,$0.00,$4.00,Tapped
4/25/2025,6:50:42,Middle,Female,Short,$7.50,$0.00,$7.50,Tapped
4/25/2025,6:51:41,Old,Male,Short,$10.50,$0.00,$10.50,Tapped
4/25/2025,6:53:27,Old,Male,Short,$9.75,$1.00,$10.75,Tapped
4/25/2025,6:55:22,Middle,Male,Long,$4.25,$0.00,$4.25,Tapped
4/25/2025,6:57:53,Old,Male,Short,$4.50,$0.00,$4.50,Cash
4/25/2025,6:58:21,Middle,Male,Short,$5.50,$0.00,$5.50,Cash
4/25/2025,6:59:56,Middle,Male,Short,$38.00,$5.70,$43.70,Tapped
4/25/2025,7:00:16,Middle,Female,Short,$6.00,$0.00,$6.00,Cash
4/25/2025,7:01:15,Middle,Male,Short,$3.50,$1.00,$4.50,Tapped
4/25/2025,7:01:51,Middle,Male,Short,$6.17,$2.00,$8.17,Tapped
4/25/2025,7:03:39,Old,Male,Long,$19.00,$0.00,$19.00,Tapped
4/25/2025,7:05:08,Middle,Male,Short,$21.50,$4.30,$25.80,Tapped
4/25/2025,7:06:54,Middle,Female,Long,$42.75,$6.41,$49.16,Tapped
4/25/2025,7:07:15,Middle,Female,Short,$3.75,$0.00,$3.75,Cash
4/25/2025,7:07:32,Old,Male,Short,$4.00,$0.00,$4.00,Cash
4/25/2025,7:08:24,Middle,Female,Short,$6.00,$1.00,$7.00,Dipped
4/25/2025,7:09:13,Middle,Female,Short,$22.00,$3.30,$25.30,Tapped
4/25/2025,7:11:36,Middle,Male,Long,$26.50,$0.00,$26.50,Dipped
4/25/2025,7:12:13,Middle,Male,Short,$5.50,$2.00,$7.50,Tapped
4/25/2025,7:12:39,Old,Male,Short,$9.00,$0.00,$9.00,Cash
4/25/2025,7:13:04,Old,Male,Short,$4.25,$0.00,$4.25,Tapped
4/25/2025,7:20:47,Old,Male,Long,$20.50,$0.00,$20.50,Tapped
4/25/2025,7:21:34,Young,Male,Long,$13.00,$0.00,$13.00,Cash
4/25/2025,7:22:07,Young,Female,Short,$8.00,$2.00,$10.00,Tapped
4/25/2025,7:26:41,Young,Female,Short,$1.50,$1.00,$2.50,Tapped
4/25/2025,7:27:10,Old,Male,Short,$8.00,$0.00,$8.00,Tapped
4/25/2025,7:29:31,Middle,Male,Short,$2.00,$0.00,$2.00,Cash
4/25/2025,7:34:39,Young,Male,Long,$3.50,$0.00,$3.50,Cash
4/25/2025,7:36:12,Young,Male,Short,$32.50,$0.00,$32.50,Cash
4/25/2025,7:37:14,Old,Male,Short,$7.00,$0.00,$7.00,Cash
4/25/2025,7:39:00,Middle,Female,Long,$30.50,$5.00,$35.50,Dipped
4/25/2025,7:39:40,Middle,Female,Long,$7.50,$1.00,$8.50,Tapped
4/25/2025,7:41:24,Middle,Male,Long,$12.75,$0.00,$12.75,Cash
4/25/2025,7:42:07,Middle,Male,Long,$4.50,$0.00,$4.50,Dipped
4/25/2025,7:43:05,Old,Male,Short,$8.00,$0.00,$8.00,Cash
4/25/2025,7:43:44,Middle,Female,Long,$9.50,$1.00,$10.50,Tapped
4/25/2025,7:44:00,Middle,Female,Short,$3.00,$0.00,$3.00,Cash
4/25/2025,7:44:39,Middle,Female,Short,$7.50,$0.00,$7.50,Cash
4/25/2025,7:46:07,Old,Male,Short,$5.00,$0.00,$5.00,Cash
4/25/2025,7:46:23,Middle,Female,Short,$2.50,$0.00,$2.50,Cash
4/25/2025,7:49:40,Middle,Male,Long,$15.00,$0.00,$15.00,Tapped
4/25/2025,7:50:31,Old,Male,Short,$9.50,$0.00,$9.50,Dipped
4/25/2025,7:50:45,Old,Male,Short,$2.00,$0.00,$2.00,Cash
4/25/2025,7:51:37,Middle,Female,Short,$19.25,$2.89,$22.14,Tapped
4/25/2025,7:52:01,Old,Female,Short,$10.25,$2.05,$12.30,Tapped
4/25/2025,7:52:26,Middle,Female,Short,$2.75,$1.00,$3.75,Tapped
5/2/2025,6:55:58,Old,Male,Short,$7.00,$0.00,$7.00,Cash
5/2/2025,6:57:03,Middle,Female,Short,$4.00,$0.00,$4.00,Dipped
5/2/2025,6:57:38,Old,Male,Short,$6.50,$0.00,$6.50,Cash
5/2/2025,6:58:20,Middle,Male,Short,$5.50,$1.00,$6.50,Tapped
